Patient Question,y_bin,y_mc,ml_emotional_reasoning,ml_overgeneralization,ml_mental_filter,ml_should_statements,ml_all_or_nothing,ml_mind_reading,ml_fortune_telling,ml_magnification,ml_personalization,ml_labeling
"I have been battling with Anxiety and Depression since I graduated college (2000). I am currently taking 40mg Celexa daily. I find that even on the Celexa, I am very moody and quick to anger. I find that little things just send me into a negative mood and for the rest of the day, I am just grumpy all the time.Some days are good, but I find the most days I am grumpy and no fun to be around. I was perscribed medical marijuana for my back last may and I only take a 25-50mg pill when I am in pain. What I find though has me confused. When I take a medical marijuana pill, I feel like a veil is removed and the person I should be is present (not stoned, just enough to remove the pain). I am nice, I am not as stressed, I am able to show the emotions I wish I could every day. I just feel like the person I should always be. When not on my medical marijuana, I again am anxious, quick to anger, grumpy, the idea of going to the store is a chore, everything becomes a chore. I really want to know why I cannot be the man who can show emotion to his family and not be such a downer. I really want to find out what I can do to get past my issues and be the man my family deserves.",1,4,0,0,0,1,0,0,0,0,0,0
Sometimes when someone does me wrong I will bring it up to them the next I see them. I’m very bold in my expression I am calm but usually I will be insulting and ask them why they did it. I’m usually quite the ass and wish them the worst luck in life. Simply because I believe that everyone should show some remorse for being rotten. Most people don’t seem to care less and say that I need professional help. I guess my question is do I? When I talk about these situations I’m not talking about simple mistakes. For example a woman I met in a online dating site 7 years ago after 3 weeks of deep conversation suddenly broke all communications and that was it. No explanation. I let it go. But today I saw her on the same site still and basically told her that it was a bs thing to do and that I’m glad she’s still struggling to find love because she didn’t even give me a chance and that’s what she gets for not even trying. She says I should seek help. It’s not normal to hold that kinda anger. Thing is I haven’t thought about her in years. Just suddenly seen her today and messaged her that simply because it would have taken 2 sentences of saying sorry not interested instead of just ignoring someone with no reason. Do I need help? Because this type of situation has happened often in my life.,1,4,0,0,0,1,0,0,0,0,0,0
I’m 25 and I feel confused over what I’m even thinking. I’m diagnosed with schizophrenia but I feel it is wrong. It makes me concerned that I’m diagnosed wrongly… but I’ve received lots of help and am doing better…though I have no idea if medications even help me.,1,1,1,0,0,0,0,0,0,0,0,0
"One of my good friends recently got diagnosed with depression. I’ve been trying to help her and be supportive but recently, my anxiety has been bad. From self-harming to feeling suicidal, things have been way, WAY better for me. I want to be there for my friend but every time she talks about something negative, I can just feel a part of me breaking away. I don’t know why it’s happening and I tried telling her to try to talk about other things but she just told me that talking about depression helps her. I feel so bad because I’m an awful friend for wanting to drop her but I just don’t want to talk about mental illness. Another important detail that I think was important: I told her I needed space but she told me to help her instead of herself. She later apologized but I’ve just never really forgiven her for it even though I said I did. I don’t know what to do. I feel so conflicted and broken.",1,10,0,0,0,1,0,0,0,0,0,1
"I am a senior in college and during the second semester of my freshman year, I met a guy in my chemistry lab. Initially, I hated him because he seemed to act somewhat pompous. But at the beginning of my sophomore year, we began to develop a relationship. Initially, we were just friends and I never really felt any kind of intimate feelings for him. As with any other attractive guy I’ve met, however, I was somewhat shy around him at first but started to feel more comfortable as I got to know him better. But still, we were strictly friends. It wasn’t until the summer between my sophomore and junior year that I realized that I had feelings for him. We spent a lot of time together, as we were both taking the same summer school class. During this summer, I found out a lot about him. I noticed that he didn’t speak about his dad a lot, if at all, and he liked to garden, cook, and was very meticulous about how he looked. I attributed these qualities to the possibility that he was a very proper gentleman, as he surprisingly turned out to be due to the fact that I used to hate him. One of my good female friends met him and immediately told me that he was gay. I disagreed with her. I had remembered him telling me about a girl he dated back in high school, so I assumed him to be straight. But then he had also mentioned that the reason why they broke up was because he told her that they got along better as friends. I’ve heard this excuse from other guys, so it didn’t hint to me that he was gay. During my junior year, he told my aforementioned female friend that he was gay, and she relayed the information to me. My first reaction was denial. I think that I had so severly developed feelings for him, almost on an unconscious level, that I couldn’t bear to believe that he was gay. Later that week though, he told me face-to-face. After that, our friendship didn’t fall apart and I wasn’t distressed. In fact, our friendship strengthened and for a while things were great. I have told him several times that I have feelings for him, and he just laughs it off. I’m not sure if he realizes that I’m serious.",1,1,1,0,0,0,0,0,0,0,0,0
"""This is going to be a complete disaster, I can already see everything going wrong - missing deadlines, botched presentations, and endless mistakes. I'm just not equipped to handle this kind of responsibility.""",1,3,0,0,1,0,0,0,0,0,0,0
"""I guess I'm just not cut out for this 'corporate type' thing.""",1,9,0,0,0,0,0,0,0,0,1,0
"""This has been the worst week of my life, everything went wrong, our house is gone, my brother's still recovering from his injuries... nothing turned out as expected.""",1,8,0,0,0,0,1,0,0,1,0,0
"There are movements that people do that make me feel very angry and horrible. It’s one of the main reasons I’m happy this school year is over. When someone in class would tap their feet on the ground/move their feet repetitively, click their pen, tap their hands on their desks, etc., I would feel so angry inside. I always had to use my hands to block it from my view or cover my ears. One time the girl next to me wouldn’t stop swinging her feet and I spent the whole class with my right eye closed so that I didn’t have to see it. I also have an anxiety disorder, and I’ve had to leave class many times to try to calm myself down in the bathroom because it gives me so much anxiety. Math class was the worst; the boy next to me always tapped his feet and made beats on his desk with his pens, a girl in front of me was always swinging her feet, and another girl was always bouncing/shaking her legs. I was always irritated and had so much anxiety. One time I left the class crying which I think scared my teacher a bit.",1,6,0,0,0,0,0,1,0,0,0,0
"From the U.S.: I did this all the time as a kid, talk to myself like someone was there. Not like talking with myself to solve problems but just like normal friends having a conversation. It will be a completely animated conversation about anything good and disturbing. And I’l look right where I think whoever I’m talking to (someone made up or sometimes famous or whoever) is standing there. I know it’s not real or reality but the fantasy of pretending is nice. I function at work and home fine but I do this everywhere ,work, home, out, everywhere. I used to think its normal but now in not so sure.",1,10,0,0,0,0,0,0,0,0,0,1
"""I finally found my sister, but she's injured and our house is gone, everything we had is destroyed. It's like nothing good came out of this.""",1,3,0,0,1,0,1,0,0,0,0,0
"Ok so I am 16 and in my last year for secondary school and my school life has been fun as i have enjoyed my life so far, but since April my mum has stopped dropping me by car or picking me up by car from school so i now travel by bus, so one day on the bus i was listening to music when my mind dosed off and i started to fantasise about killing the passengers of the bus in very grotesque ways such as running there face between the tyres of cars so that there face rips off their skull and just look like a pancakes and then i would feed it to the passenger next to them and i also do something grotesque to them, and its come to point where i enjoy it, and now i can just think about it and do it to any one i want whether it be family members or class members i really have no remorse so the ways which i kill them are bloody and unreal. I do not suffer from any sort of depression, (when i searched for this question, most people had been suffering from depression or had thoughts of committing suicide which i have not yet) and i do not have any problems against the people that i think about killing it just that it makes me happy killing in my mind. I have not told anyone so far as they may laugh at me (which i would also do), i am not sure if this is something normal or if this is something i should worry about as it may lead on to much worse thing but currently i do not believe that i will complete or act out these thoughts as it is illegal and against my religion but who knows something might click and even that may not stop me. All I asking is should i tell anyone, or should i just leave it be and not act on it, and what actions should i take (also i have come to being fascinated by surgeries which involve needles and knives and also murders which involve a lot of blood and i have not played video games in a year due to exams creeping closer so i do not think that that is the problem). Thanks",1,7,0,0,0,0,0,0,1,0,0,0
"I will try and be as brief as possible: 3.5 yrs ago I fell deeply in love with a man who is 13 years my senior. I had never felt this way and neither had he. We were together full time for 1.5 yrs however it was a long distance relationship taking up to 10 hours each way to see each other. We adored each other and wanted to make it work so made an effort to meet up every 2 weeks. The distance took its toll and when I felt ready to move in with him, he suddenly became very scared (his mum committed suicide 3 yrs before I met him and was quite abusive to him when he was a child) and took a step back which caused no end of heart ache. I knew he still loved me however it was simply impossible to continue as we were. Eventually the frustration of being apart caused us to separate. We decided to take a break- not to break up. But he went into denial and although we were in touch most days during the break, he said that he wanted to stay single. I was dying of heartache and 6 months after our so called break met another man who for the first few months became just a lovely friend, consoling me about my break and helping me, eventually the new chap and I started having a relationship although I had mentioned nothing to the first man (love of  my life) as in my head I thought he no longer wished to be together. After some time he found out and told me that he wanted to get back together by which time my trust had flown out the window. The new man was so lovely and kind and fun and all the rest of it but we lacked much sexual intimacy. Fast forward nearly 2 yrs and they are still both in my life, I am in love with both and both are in love with me. I live with the new one but I am dying inside being away from the first.  I have seen him and we both don’t understand what’s going on. Its so painful and I feel so guilty. Sex is still an issue with new man- I love him dearly rather than passionately. Help me please if you can. (From the UK)",1,8,0,0,0,0,0,0,0,1,0,0
"Six months ago I went on a camp with some friends. I slept with one of my best friends which was in a long-lasting relationship. We both enjoyed it and wanted to continue with that. We both knew it was a bad and immoral thing, but the pleasure was above all the morality. But I started to fall madly in love with him. Every time I saw him, touched him, kissed him I was feeling so good and appreciated. Nobody ever has given me a feeling like that. And we did not have a single quarrel in all this time. Everything was perfect except the fact that he was cheating on his girlfriend with me and our relationship was a secret. But he started to feel guilty about this relationship about a month ago and wanted to break up with me. I could not stand such a thing and I asked him to give me another chance to make him forget his girlfriend. It did not work out. He is trying to convince me that he is not the right person for me and he is in love with his girlfriend, although he tells me “I love you” every day. I am trying to be the perfect girlfriend for him and do anything he asks, but he still loves the other one more. What can I do to have him? Or should I forget him? I can’t forget him because I love him so much. He is my first true love. I can’t let this behind. (age 20, from Romania)",1,3,0,0,1,0,0,0,0,0,0,0
"My brother was diagnose with severe depression a few months ago. He seemed to be better recently with his medication. However, he refuses to see any therapist even though I really think it would help him a lot. Recently, I signed up for Mental Health First Aid Training so I can be a help to my brother. Should I ask my brother to go with me to this training? I wonder if it would be beneficial for him to attend an event like this. I thought maybe through the process of learning how to help other people he can also help himself. My worry is that maybe he would feel pressured or uncomfortable during the training and may breakdown or get more depressed again.",1,6,0,0,0,0,0,1,1,0,0,0
"My partner of many years had a childhood of abuse and abandonment. Eventually he was adopted and things improved to a degree. He’s never really dealt with his emotions about his past, although he is a sensitive guy and I know he has a lot of hurt inside him. He has instead chosen to repress and ignore these emotions. He moved across country, so his family is out of sight, out of mind. He will do anything to distract himself and not think about it. He definitely has shown signs of depression on and off over the years. I’ve suggested therapy to him before. It comes up perhaps once a year. He is extremely reluctant and he says has no desire to relive his terrible past. I’ve told him I understand that and that I think while therapy would be painful, I believe it would be worth it in the end. He’s extremely stubborn and pushing an issue will make him more likely to reject it, so I don’t bring this up often. My approach is to discuss it in a supportive manner, encourage help, not push it, leave it to germinate. It seems to have made him open up to the possibility of help. He has conceded in the past year that he might be depressed. We recently visited his adoptive parents. It had been 3-4 years since he had seen them, because they live back “home” and he’s been avoiding his past entirely. His foster father is very old and unwell. He put off seeing them as long as he could. I encouraged him to go visit, because the guilt at not going was evident and I knew he would have terrible regrets if his foster father died and he had not gone to see him in so long. I know he feels a lot of guilt for being so far from them, especially now they are old and unwell. He approached me today and stated he thinks he is depressed. I think this is a huge step for him to admit this. I want him to get the help he needs. I will of course, be supportive and will listen to anything he wants to talk about. I do strongly believe that therapy would be invaluable to him. How do I encourage this route without scaring him back into his shell? Thank you.",1,6,0,0,0,0,0,1,1,0,0,0
She's just a bully who uses fear to get what she wants.,1,10,0,0,0,0,0,0,0,0,0,1
"Hi, Doctor, I think I’m continued dive in the depression. I can’t feel very well. When I trying to get rid of my bad thoughts which is continuously coming to my mind –I can’t. When I trying to concentrate on my work I can’t. Every time I think about ” what happened next or what if I can’t do anything in my life.” I literally struggled to live a normal Happy life. 'Please help me to overcome my meaningless fear and the big one of the big problems for me is I’m not very Happy with my physique… I’m a very skinny guy and of course, I just want to get rid of this skinny shit… Pls help me what should I do…….pls pls pls reply soon…..Awaited to ur reply. (From India)",1,1,1,0,1,0,0,0,0,0,0,0
"I have reoccurring dreams that my boyfriend ( 1 year ) is/has been gay. The Dream is me finding a photo of him and a other male standing around , looking happy. When i confront him about this male, he admits he use to have a relationship with this male before me and they used to live together. ( not a hidden relationship on his family was all aware of). He assures me that relationship is over and he is with me now. I want to underline the fact that he is not cheating on me in this dream.",1,7,0,0,0,0,0,0,1,0,0,0
I have severe Bipolar Disorder and am applying for disabality: I have sever bi polar disorder and it is not ideal for me to work and be around people in fear i may be so upset i will hurt them. i have been to my doctor may times for this and i have an appointment with a phycologist soon to help with my treat ment. i am taking 400mgs of Seroquel currently and it doesnt seem to be working…I applied for disability because bi polar is a disability and i need the help while im trying to be treated and focus on only that…do i have a chance of getting it? will i be okay,1,7,0,0,0,0,0,0,1,0,0,0
From a teen in the U.S.: I’ve been feeling what I believe to be depressed lately. The feeling I get isn’t new or anything just it’s been a reoccurring issue. I have issues with my mother where I find myself feeling unloved and even more depressed. I’ve recently tried opening up but I’m not sure if it was a good choice or not I wonder if the reason I stopped talking was because i didn’t want to continue or because i genuinely felt like a bother.,1,9,0,0,0,0,0,0,0,0,1,0
"From Alaska: I am an 18 year old guy who’s been dealing with a lot of anxiety. Following a recent move, I’ve begun to hear voices, sometimes in my head. Those ones tend to say very bad things about me. Sometimes outside of my head, which usually sounds like large crowds or whispers. These voices distract me all the time to the point where I have a hard time understanding what people are saying, or what I am reading. The part that bothers me the most, however, is the fact that I am unsure if I am just making these things up in my head to somehow punish myself. I cannot make them stop though, and the conflicting ideas of “I’m making this up” and “I can’t make them stop” causes me a lot of trouble and confusion.",1,9,0,0,0,0,0,0,0,0,1,0
"adhd, adjustment disorder: Ive been stuggling with a few issues recently and I dont know whether or not to go to a therapist. Im worried about potential adjustment disorder and inattentive adhd. I just cant deal with change.When I first started university I was having a good time but when I got home I was miserable and didnt want to go back .Id just burst into tears at the thought of having new friends because I just wanted my old ones. Eventually I settled in. A weirder example is when I got a second cat, I kept trying to convince my parents to give her away because I liked the dynamic of having one cat,it meant no favourites and the thought of things changing made me cry just thinking about it. This anxiety if change has always followed me. When i was younger Id have frequent dreams of finding out my mam was pregnant and Id wake up crying. Now this feeling has returned because my parents want to move and I just cant cope with the idea. I love my house, its ours and the thought of someone else living here and making it their home just makes me burst into tears.Another recent example was I had my first brief relationship which I ended just before we got together because I just couldn’t deal with it. He asked me out and I cried the whole walk home after saying yes,I did the same thing(crying)after he kissed me in the car ride home with my dad. My parents keep telling me to stop getting so worked up about silly things but I just cant help it.",1,8,0,0,0,0,0,0,0,1,0,0
"""After what happened, I can't see myself as anything but a terrible communicator.""",1,10,0,0,0,0,0,0,0,0,0,1
"Over the past two years, my mom has been seeing a local LCSW for therapy. Repeatedly, Mom has told me about telling her therapist about my life and her therapist giving her recommendations about me. Her therapist is revisiting a one sided story and giving one sided advice that is causing me serious stress, as my mom now feels she’s an expert on her adult daighter’s life, but doesn’t seem to be talking about herself in therapy. I’m not sure what steps are appropriate to take in this regard. Can I take a no contact order, which includes third party informants, out on a therapist? I personally don’t have anything to hide from this therapist, I just want to make it abundantly clear that she should be redirecting my mom’s therapy session back to my mom instead of talking about me. If I wanted her to know about me, I would see her myself.",1,4,0,0,0,1,0,0,0,0,0,0
I'm starting to think of him as just a selfish person who only cares about getting his hands on Dad's money.,1,10,0,0,0,0,0,0,0,0,0,1
"My mother is obsessed with making up for being a “bad” mother. She paid very little attention to us as children. We essentially raised ourselves. Now she smothers us, calling several times a day, coming to visit 3-4 time per year (she lives in another state), and staying 10 days at a time. All of our interactions involve her trying to teach us the basics, as if we are still 5 year-olds, and demanding honor and respect simply for being the mother. Conversations a nearly impossible because she is always right about everything and we should simply accept and honor her wisdom, as the elder. I have tried to gently (and not so gently) remind her that we are now adults and do not need this type of guidance any longer, but she insists that it is a mothers job to teach her children all through life. She respects NO boundaries!I could write for days on that subject alone. She continually says things like the mother is the most important person in one’s life, etc…etc… I know her issues stem from having been sent away for her safety during a war, in her very young years, and then being reunited with her family several years later (resulting in two separation/abandonment scenarios). She also married and left her family behind to come to the US from her homeland when she was 26. This left her with no family support, except for her in-laws, which she claims treated her poorly. Lastly she is uneducated and lacked any motivation to change that. I pity her for all her hardships, but I hate her for what she’s become as a result. My brothers are strong enough to ignore her demands for attention, leaving me to console her and defend them. I am at the point where I just want one of us to die, so I do not have to deal with her any more. Sad, huh?",1,10,0,0,0,0,0,0,0,0,0,1
"A few months back I made a character to vent some homicidal ideations with. As time went on, he became more of an imaginary friend I would talk to all the time I was alone, and somewhat fall in love with. He is a serial killer, without a real reason to kill but he does anyway. Sometimes I imagine killing with him, him killing me, or me killing him. I made him so I could have a way to deal with suppressed feelings of committing murder, but lately the thoughts have become less restricted, more thought of. It’s no longer I could never kill; now it’s & I could, and I kind of want to; I want to be like him, even though another part of me screams not to. I know right from wrong, but I fear the longer these intense homicidal ideations fuel my mind, I may crumble become my nearly lifelong fear. I know he’s become a problem, but I don’t want to get rid of him. I’d feel like I killed him, as dumb as that sounds, especially when I said sometimes I imagine killing him. But he’s my friend. The one I can be completely honest with. What can I do to help myself, without losing him? I don’t know if I can change him, he feels like his own person at this point.",1,7,0,0,0,0,0,0,1,0,0,0
"I am a good-looking and intelligent young woman. I have a jealousy problem that is becoming obsessive. My sister in law (I’m not married but I am in a 3year relationship with my boyfriend) is two years younger than me, 10cm taller than me, a couple of shades blonder than me, thinner than me, has a better figure than me, and so on. She looks like a milliondollar earning supermodel. I am emotional, and sometimes I can be pretty dependant of my boyfriend. She is down to earth and can walk away from a guy who’s doing something she doesn’t like, just like that without doubting. This is because she has pdd-nos, not because its a characteristics of hers. But still. Then she has the greatest taste in clothes. Everything she buys I want to have, but I can’t buy it anymore because I don’t want to copy her, I have to much pride for that. Whenever I buy something that she has too, I make sure I don’t wear it around her. It’s becoming obsessive because I’m up to a point where I have pictures of her saved on my computer, looking at her online profile pages regularly for new pictures and to see who she’s talking to, making sure I look my absolute best whenever I know that there might be a possibility that she’s gonna be at my boyfriends parents house when Im there.. I’ve removed all the pictures before and stopped checking her pages cold turkey, but it didnt help because Im doing it again. It doenst make any sense because I look great and have no reason to be so sickening jealous of this girl. I just want to get rid of it.",1,4,0,0,0,1,0,0,0,0,0,0
"I recently found out that my parents told their friends and my boyfriend-now-husband that they gave me pretty sexualized spankings when I was in my late teens. They described them in sexualized detail, or mentioned them in a sexual way in a passing comment. I don’t remember any of them happening. I think they’re lying, but have no idea why. I do know that, without explanation, I am very shy sexually in regards to my butt and positions similar to one’s they described spanking me in. However, I am very adventurous in every other sexual way.",1,6,0,0,0,0,0,1,0,0,0,0
"I am a 28 year old female in a relationship with a divorcee (with three children age 7-10). I have been having increasingly problematic anxiety attacks for the last 8 weeks. My boyfriend has been incredibly patient but it is running thin. My anxiety is beginning to interfere with my daily life, not just every now and again. I have huge panic attacks that cause not only my boyfriend to fear me but my past comes back every time to tell me that I’m not worth it, etc. (I was abandoned as a child and adopted at age 12, with significant abuse before and after adoption). I can feel that I am pushing him away even though I am not meaning to and I am afraid that he will just stop loving me because of the hurtful things that I say during the attacks. It has been an increasing struggle to come down from the attacks as well and has taken longer and long. Just last night, I had backed into and was hiding in my closet…and I’m 28! (Its embarrassing to be frank). I struggled with some anxiety when I was in college but it was never this bad. I don’t really know what to do, I don’t think its fair to continue to force him to live through the attacks, but it’s also not fair to leave him because he doesn’t want me to leave, and I don’t want to leave. Should I have him take me to the hospital next time? I can’t just go there when I’m calm, they won’t admit me, but I think its getting to about that time. I can’t keep putting him through this. Please please give me some advice. I’m drowning here.",1,4,0,0,0,1,0,0,0,0,0,0
"I sometimes get episodes of what i feel are anxiety attacks, however they are never brought on by anything irrational. Only triggered by extreme confrontation or sadness when recalling an event. When i get these “anxiety attacks” i feel like i cant contain what i am feeling anymore and it manifests in things like me forgetting to breath and shaking my body and griping at y scalp while crying, or feeling like i cant do anything at all but just stare into nothing and listen. In day to day life i don’t feel like i ever have mood swings, some days i wake up happy and some days sad. However, my mood will not spontaneously change without a reason. I feel like in day to day life i am one of the more calm people in my career and i am able to handle work stress extremely well with very little repercussions to the large amount of stress. I do have a hard time making and maintaining friendships and feel like i am craving them at the same time, just something within me doesn’t let me be able to have bonds with people. There are acceptations to this like my partner who i am extremely happy with and who i believe i have a healthy relationship with. I just don’t feel like what i am experiencing fit into the typical depression or anxiety symptoms as i feel i am much more rational and composed than the symptoms suggest. I just want to know if there is a better term for what i am feeling and where to find help to deal with what i feel.",1,1,1,0,0,0,0,0,0,0,0,0
"First, some quick background. I am a male with a history of bad behavioral decisions that end up biting me in the rear, often months later. One decision I made in t past 6 months was to quit my job (no warning, no job to transition to) due to the treatment (high stress, high responsibility, low authority, etc.) I was getting. My blood pressure and blood sugars (Type 1 diabetic) improved over the next few months and I got a new job in December. But the stress of that decision put a lot more strain on my already brittle marriage. My wife is very money conscious (due to some bad money situations before we met) and this additional strain on her income was heavy. In the middle of this already “Joyful” experience, she demanded that we move to reduce her commute, as “that wasn’t my problem anymore”. I moved us and essentially completed most of the move before Christmas.",1,10,0,0,0,0,0,0,0,0,0,1
"""I'm just a careless daughter who can't even remember to give my own mom her meds on time.""",1,3,0,0,1,0,0,0,0,0,0,1
"I don’t even know where to begin. I have taken quizzes and seem to be a candidate for multiple issues. Maybe I am just crazy? My moods fluctuate from normal, to withdrawn/depressed, to excited, to crying, to screaming mad and scary irritable. This fluctuation doesn’t happen in any particular order nor does each mood last for any particular length of time, but they are extreme and they are sudden. When I get angry, most of the time I can’t even remember what set me off. When I break down into tears usually its not justified and I was bubbly and happy just before the crying started.",1,10,0,0,0,0,0,0,0,0,0,1
"When I was 12 I was in school and behind me was the 16 year old boy and I felt something behind me in the line to get some dinner, but I wasn’t sure what it was but I felt his whole body in back which was very uncomfortable and I couldn’t see his face properly. But I wasn’t sure if he was touching me at first so I just got out of the line because I felt his hand in my back but I wasn’t sure, so I kinda let it go. So the next day I went to the line again to get some food and I felt something really close to me again and i felt a hand trying to pull my jumper and shirt and it made me very uncomfortable and he touched me in my legs and between them but I was scared I didn’t know what to do I was just frozen I would always try in move but he would always go back, so again I got out of the line. I felt like he was following me everywhere I was really scared my friends were always there to make me feel a bit more protected. It happened for two weeks him just touching me and it always got worse, so I told my head of year but I couldn’t describe what he was doing so it looked like she didn’t really care so I thought I was being exaggerated that it was ok for him to touch me really inappropriately. I didn’t eat at school for days, until one day I went and he was there and once again he touched but this time quite worse as he tried getting between legs again my friends saw so they went to get my head of year and she took him out of the line and I didn’t know what she said to him she never spoke to me about it. The good thing is that he stopped but I was so traumatized and I still am. I have nightmares all the time and flashbacks of his face as I saw him earlier this year for the first time in a year I was scared I was getting paranoid. I was stupid for not saying stop it but I was so scared. Was it molestation or was just something that didn’t matter? These nightmares are just getting worse I just don’t know.",1,10,0,0,0,0,0,0,0,0,0,1
"From a teen boy in the U.S.: for a long time now i have felt empty and bored with life, i have had no ambition or motivation to do anything, i always see how people have dreams and aspirations but i have no desire for anything, not even money can buy me happiness. i have one friend that im not allowed to hang out with.",1,2,0,1,0,0,0,0,0,0,0,0
"A few months ago, I started seeing a counselor for the first time at my college. The reality is, I should have seen a counselor a very long time ago but I was always reluctant too until a recent breakdown. My entire life, I’ve always felt very anxious around almost any social situation. I have always been extremely shy and struggle making friends. I assume people are thinking negative of me and won’t like me, therefore I may come off really distant and very difficult to get to know. I struggle trusting anyone, making it really hard for me to make friendships (or keep friendships of any kind). It causes me a lot of issues in my job and my professional performance because I lack self-confidence and fear being judged. The counselor seemed to agree that what I was explaining seemed a lot like social anxiety. Even going to see a counselor was extremely challenging even after multiple sessions, I was still feeling as anxious/shy since the first few sessions. It’s really hard for me to warm up to people (if not seemingly impossible even if I know them for years) even though the counselor was very kind and nice. I found therapy hard and became frustrated with myself, so I called it quits after like the 8th or 9th session. I did make some progress and learned a lot, so it wasn’t a total waste of time. But overall, I felt hopeless like things for me weren’t ever going to change. I’m able to “Challenge” my negative thoughts with more positive ones but it didn’t really change how I truly felt. So, I began doing some research online about SAD and came across the term “avoidant personality disorder”…the description seemed very similar to SAD and began to wonder what if I had APD? Then, I also learned that treating personality disorders can be very difficult and may not be curable but treatment may relieve some symptoms. It kind of made me feel hopeless because what if the reason I haven’t been able to be “free” from this is because I have APD? Or am I overreacting? I’m not a huge fan of labels but wondering if it’s common for a therapist to tell you if they diagnosed you or not? Mine didn’t really ever “diagnose” me, they did however tell me the therapy we did was CBT.",1,6,0,0,0,0,0,1,1,0,0,0
"I'm still awake, my mom's oxygen levels are supposed to be higher than this by now; it's unacceptable that I haven't found a way to get them up yet.",1,4,0,0,0,1,0,0,0,0,0,0
"Hi, i experience a problem that makes it very uncomfortable to be near other people. I will be sitting in a quiet environment and a thought will start popping into my head that i believe is wrong and humiliating. It tends to feel very loud and insistent and i have absolutely no control over it. And its the opposite of what i believe. For ages i will be terrified that im saying it out loud, even to the point where i try to hold my breath to stop it. I used to run away when it happened but now i can ride it out, even though its excrutiating and my face is glowing like a beacon. Horrible. I would be really grateful if you could explain whats happening and how i might get some help with it. Thanks.",1,1,1,0,0,0,0,0,0,0,0,0
"I have been suffering severe anxiety for almost 8 months now and I have tried everything from changing my diet to meditation to no avail. I was numb for 4 months straight and I have had difficulty breathing for nearly three months straight. I have been to the doctor numerous times and most of them said anxiety. Finally, after a visit with a psychologist a two days ago, he recommends that I take Praxil and I have not used them yet. I want to know what is your experience with Praxil or any other antidepressant?",1,2,0,1,0,0,0,0,0,0,0,0
"""A competent team leader would have double-checked before pointing fingers, it's unacceptable to let someone else take the fall like this.""",1,4,0,0,0,1,0,0,0,0,0,0
"""Of course, this means my car will break down tomorrow and I'll be late again.""",1,7,0,0,0,0,0,0,1,0,0,0
My brother has been married 14 years and is considering divorce. He has been communicating with his wife about his feelings. She is a very jealous type of woman who has not allowed him to have female friends. He has two daughters ages 10 and 11 and recently the girls have been getting more involved questioning him about his female friendships. Recently he took both girls to a concert & his female friend came along. The youngest shared that she told her mom about the concert and mom said “She did not know” his friend would be there. The youngest then told her Dad that it is not right for him to be at a concert with his female friend and not her mom. Another time recently the oldest daughter called him to ask “Dad where are you and who are you with” … I don’t know if this is normal behavior for young girls but I am concerned that they are adopting these behaviors from their Mom. She also shares certain things with the girls (since the marriage is having problems) like “I didn’t know your Dad’s female friend would be there” for example. Is this something we should be concerned about? I worry the girls are being brought into their parents’ marriage issues and in the process are being taught to interrogate their Dad and worry about boundaries with him and friends.,1,10,0,0,0,0,0,0,0,0,0,1
"I don’t know what to do. My boyfriend says he isn’t a sexual person. He is 32 and only had sex before me twice when he was 18 and didn’t get off. At first when things would lead up to sexual he would get extremely nervous. Now he trusts me more and doesn’t feel as self-conscious so it’s easier to get things going where he used to stop me. He says he likes making me feel good. And he gets me to orgasm using his hand. We have intercourse but it doesn’t last very long. He gets hard but then when we start doing it he slowly loses his erection. He says he doesn’t mind that he doesn’t need it but I don’t know if I should just accept that and stop trying. Sometimes it makes me really discouraged that he doesn’t get to feel good. It’s not even just not getting off. When he’s in me I’ll ask him if it feels good and he always says a little which I think is just to spare my feelings. I don’t believe it feels bad. Oral doesn’t really do much for him either. I’ve tried to just do a nice sensual hand job but he said it wasn’t doing anything for him even though he got an erection he said he didn’t even realize his body was responding. Like there is a disconnect between the physical and his mind. He did get off one time when we were having sex and he liked it, of course. I think we might have not used a condom then and I’m going to look into better birth control so we don’t need condoms. But what else can I do. He’s said he might want to talk to a doctor but he’s really embarrassed. Also, he’s not that big and he does slide out a lot idk if that could contribute. He also is on antidepressants has anxiety and is afraid to get blood work done. We have a good time, I do believe achieve intimacy. He likes that I respond to him. He always tells me it makes him happy that he can make me feel like that. He loves kissing and cuddling. He doesn’t masturbate often and says when he does he does it because it’s been a while and you’re supposed to?",1,6,0,0,0,0,0,1,0,0,0,0
"""It's unacceptable that my teammates can't even get their part done on time, and now I'm stuck redoing everything because my computer failed me - ideally, these things should never happen when a project is this critical.""",1,4,0,0,0,1,0,0,0,0,0,0
