text,binary_label,distortion_type
"Hello! Since i was a kid i always had problems of making friends. I travelled a lot, went to summer camps in Europe, prestige ones, graduated a good university(bachelor degree). But i always had the same problem: at some point i was becoming a person no one paid interest to or even tried to ignore me. Sometimes it even turn to fights… When i turned 18 i have found a couple of very good friends and we were drinking every weekend. didnt pay attention to health issues and many times (about 10) drank till blacking out… couldnt control myself and felt completely happy while being drunk. I also was smoking marihuana for about half a year. Ive never had a girlfriend(not because i am an unattractive, but my behavior) . The second problem i face–i cant concentrate at all. Since i was very young i have lost like 10 cell phones, credit cards, wallets, driver license, laptops. And i really hate myself for this. I tried many different sports(triathlon, half-marathon, boxing) for building precision, watched 100-s of TED talks, took some courses in coursera but seems like it getting worse and worse. Friends and family call me lazy,moony etc. While studying i distract every 5-7 minutes. To enter this question i spend like 3 hours. But sometimes feel very energetic, enthusiastic for a couple minutes. I jump, shout and feel like a champion. And i cant really predict this or control. Especially when i listen to the music. I stopped drinking alcohol for 3 month and do not plan to continue. I believed that i can start a new life and become a normal concentrated person within 3 month of writing down all my activities in my diary and analyze it weekly. To sum up 4 hours a day on average i spend in a “focused mode”. But after 1 week of having a rest i returned to the previous version of mine. During these 3 month i cried a lot, punched myself in a face, tried to die while doing sports. Time goes faster and my mental power is reducing. I forget things more often and sleep more. In the period from 8 to 16 years old my daddy used to punish me physically and was shouting at me probably everyday. I really want to switch but seems like i cant find an appropriate tool for it by myself.",Distorted,Fortune Telling
"My daughter recently moved into my home and shortly after I started to have problems with my boyfriend I feel like he was cheeting on me, then he got an std which thank God i didn’t get it we were not having sexist the time he rejects me all the time . So anyways I left my phone recording one morning while I took my other kids to school .. it was just to hear if called someone he was cheeting with to my surprise I hear him with a. Girl getting pleasure and towards the end he said her name and his talking to her as i walk in … she was the only one here. I confronted both of them but they deny it … now I don’t trust them alone.",Distorted,All-or-Nothing
"I have severe body dysmorphic disorder, GAD, bipolar disorder, and severe depression. BDD came around a time where I was also anorexic. I started to feel less than everyone because I was coming to terms with being gay also. Something I hate beyond words. The reason I”m contacting is that i feel I”m losing more and more grip of reality with every passing day but also have zero interest in wasting my time with therapy because there is no amount of therapy or no therapist who could convince me that it will ever get any better. To give you an idea, gay men message me all over the internet telling me I”m fat and ugly, that I can”t be gay because of it and many tell me to end my own life since it would be better since I”m too fat and ugly and look like a pig. There is not one thing ANYONE would ever convince me to like about myself and being gay isn”t a choice, I”m tired of people telling me I should consider therapy when It never worked for me and since therapists cannot change that I”m gay or that I look like this, WHY should I waste all my time and money going to therapy when there IS NOTHING, I MEAN NOTHING, they can do to make any of this any better. There is no bullshit POSITIVE thinking that”s going to not make me hate everything about myself or being gay. When you have spent almost the entire time you”ve been out (since 2007) being told that your life is worthless because of how you look means that PEOPLE will not get any better either. What should I tell people with the best ways why CBT is not effective for everyone. Not everyone also has 300 dollars sitting around to go to ONE therapy appointment that MAY OR MAY not work. Every day gets worse, but I know it won”t ever get better with how they are. Why do you feel the pressure to oversell the effectiveness of treatment at the expense of well-being of the patient? So many therapists do not care and just want money. So many use themselves as a well for people to almost figure out their own issues. I went to school for Psychology too- it”s become a joke. ALL ABOUT THE MONEY (From the USA)",Distorted,Emotional Reasoning
"Hi, thank you for reading. My mother just found out a month ago that I had been slicing my legs and wrists since the 6th grade. I started to see a psychiatrist and a therapist at Sherbody Psychiatrists in Greenville. They put me on mood stabilizers but never told me what for specifically. After reading an old journal I asked my therapist about bipolar disorder. She responded that my diagnosis at the moment is NOS. what is this and what does it mean? It might not matter because now that I’ve asked her about possibly being bipolar, she gave me a workbook for teens. I don’t see her for about 3 weeks because I’ll be at camp, and I’d really like to know what NOS is. Thanks again.",Distorted,Fortune Telling
"I’m 14 and in the 9th grade. I’m failing and I’m not sure what to do. I stopped going to school in the 8th grade because I became very depressed and I had a lot of issues with the other kids. I hated school (and still do). I ended up going to court for truancy and all of that. I was diagnosed with depression and anxiety disorder. I felt like my life was crumbling but I acted like it was okay. I got into a lot of bad habits. I didn’t have a single friend and if someone wanted to hang out I’d make an excuse to ditch them. I just couldn’t handle being around people. I started a high school September of 2014. It was alternative and I thought it would work but once again I stopped going because I was afraid and I couldn’t handle the kids. In about October of 2014 I started going to an online school. Right when I started I knew it wouldn’t work out. And now I’m here, failing the 9th grade, completely friendless, I’m on medications and I’m going to therapy but I still can’t get my life together. I try my best to forget about by responsibilities by playing video games or watching TV. But it’s just becoming horrible. I feel terrible about not doing school and I’m so sad and distracted that I can’t focus on what I’m doing. Every time I do anything I feel like failure. I’m scared of failing but I have no motivation to not fail. It’s just so bad, and I want to go to a real school but I’m scared to go back because of all my old friends and stuff. I feel like I can’t do anything. I just lay in bed all day and feel sorry for myself. I feel like if I don’t fix this I’m not going to pass high school. I really need help. I’m considering asking my parents if I could go to a hospital. But that’s also very scary to me. Please give me some reassurance. (age 14, from US)",Non-Distorted,No Distortion
"From the UK: I’m 22. About 2 years ago I had really bad social anxiety, about as worse as they come. This was accompanied with a stutter I have always had which made it even more challenging.",Non-Distorted,No Distortion
"so straight to the point i guess. I’m a 19 year old girl and i have issues. I have never been diagnosed with anything but I’ve dealt with depression for a long period of time including self injury and thought/attempts of suicide. I have anxiety issues and commitment issues. I knew all this before finding your website. I took a few of your tests for more information. My sanity score ended up 130 with 7 pressing disorder/issues. I have seen school counselors in the past and honestly that didn’t go to well. I am at a point in my life where i want to get over this and try and live, but i know i can’t do it alone.",Non-Distorted,No Distortion
"It has been more than a year now , I feel alone, depressed, don’t feel like talking to anyone, just like to be alone. Also have been too much emotional these days. I don’t have any girl friend or even a person who cares for me , except my mother, in my entire life. This all has started because I cant see my mother not getting respect from my father after staying with him for almost 30 years. I feel this so much , but I am not able to speak on this with either of them. I just keep on crying from inside. I cry while sleeping thinking of all this. This is affecting my behavior and I am no more a social person. I have lost all my friends. Even in office I just talk work. Some of my close friends say that I inspire them with the way I work, but when I come back home I just see all those things which I have seen over the years which makes me to forget the kind of person I am or I was to be. I have never got love. Because of all this my self esteem is gone way low. I am confident when it is work, but when colleagues go for tea break or lunch together I am uncomfortable to go with them as I don’t know or I am not confident on my behavior. I don’t sleep well, I stay awake late nights, get up late in morning. I have lost weight not eating much. Also about my past , I am not been able to do much friendship in school and college as well. Even in my family I have always been kept aside for all important things, they just think that I cant do it just because I don’t speak much. I am fed up of all these, these days and I am seeking for an advice or help. It would be glad if someone can talk to me or can help me to find way out of this. Thanks in advance !! (age 26,from India)",Distorted,Mind Reading
"From a 15 year old in the U.S.: Hi, I’ve had this problem for 4 months it’s been 24/7, but things have all of a sudden felt like everything is getting like fast forwarded or rushed like I sat in a dressing room for an 1 hour and it felt like 30 minutes I don’t know what’s wrong with my perception of time is there any way to fix this??? And I feel very emotionally numb like I’ll laugh but I won’t feel anything. and words on boards seem blurry to me even though I’ve never had reading issues like maybe not blurry just that my mind can’t quite comprehend. I know I have depersonalization but are some of these problems something else",Distorted,Overgeneralization
"What else should I try? I am a 21-year-old college student and have been depressed for most (if not all of) my life. I was formally diagnosed with dysthymic disorder depression in high school and have since struggled a bit with eating disorders, anxiety, and panic disorders. I have also had several medical problems, most likely relating to depression and anxiety, including gastrointestinal problems and migraines. So far, I have seen 4 different psychologists and 2 psychiatrists as well as countless other medical professionals. I have been on Celexa, Wellbutrin (SR and XL), Abilify, Remeron, Lexapro, Zoloft, Xanax, and most recently Pristiq. So far, nothing seems to be working and the side effects of the meds far outweigh any benefits I might be getting. Is it possible I have treatment or medication-resistant depression? What else is out there to try aside from medications and psychotherapy?",Non-Distorted,No Distortion
"I am 20 years old and in a relationship with a girl my age, and we have been together for about 8 months now. This girl is great, she is super nice and has a great sense of humour and is gorgeous, but for some reason a part of me just isn’t sure if I want to be in the relationship or not. My last relationship was not a good one, I was with her for a year and she had lied to me multiple times and cheated on me about 3 times, and I did not handle it very well and it was shattering to my confidence. This relationship I am in now is however, very good, we hardly ever fight or argue, and have had practically no problems at all. I am unsure as of why Im not fully into this relationship, but for some reason a part of me isn’t. I sometimes find myself wanting to talk to other girls, and when I do I sometimes even get a little more flirty then I should. I have not cheated on my girlfriend, but I fear that if this keeps up, it is not an impossiblility. I feel terrible because this girl truly is fantastic in every single way, and I am her first Serious boyfriend that she has ever had. I don’t know what I should do.. if I should talk to her about this and risk hurting her and possibly ruining the relationship, or if I should just wait it out and see what happens.. any advice would really be great. Thanks for your help",Distorted,Overgeneralization
"From the U.S.: Hi, I am a female and a junior in high school. I think I might be gay but I don’t know, and it’s frustrating and scary. I thought I liked boys up until now. All through junior high all I ever wanted was a boyfriend. I was boy crazy and I wanted to date every boy in the school. Now, I have a boyfriend, and when we first started dating, I really liked him. I loved holding hands with him and cuddling. But after about 4 months I have no interest in touching him or kissing him or even talking to him. But I don’t know if this is because I don’t have feelings for him specifically, or boys in general.",Non-Distorted,No Distortion
Where do I start? So I’ve been doing a lot of self reflection and I believe I have a plethora of mental illnesses. I’ll start with the events that have shaped my life to this day.,Distorted,Mind Reading
"From the U.S.: My daughter is currently ten months old. Her legal father (L.F.) is not her biological father (B.F.). L.F. has played a very active role in raising her. He has taken on a paternal role since day one, and she has grown to call him dada. My daughter has never met B.F. However, L.F. has now decided that he does not want to be a part of her life. Is there any potential my daughter will experience any long-term adverse effects due to the sudden loss of the bonded relationship she has formed with L.F.?",Distorted,Emotional Reasoning
"I’ve been dating my boyfriend for 6 months, during the first month we talked about marriage. I have been married before at 19 for only 3 months and I thought I was over it and didnt care. Now that I’m seeing my boyfriend and the thought of marriage came up I developed a generalized anxiety disorder and have been dealing with it. He is so good to me and sticks by my side no matter what but lately I’ve been having doubts if he is the one for me, or if I’m ready for marriage and basically just panicked.",Non-Distorted,No Distortion
My friend and I haven’t got much in common: I’m a college student; she’s twice my age and works as a legal secretary. I’m single; she has a family. I’m living below the poverty line; she’s got a big house in the country. But we bonded over our mutual love of cats. I have two cats; she has–at last count–73.,Non-Distorted,No Distortion
"When a family member like my mom or dad kisses me and hugs me, I feel disgusted/nasty/dirty/powerless, etc. probably because I see hugs and kisses as something inherently sexual, so I like affection from anyone who isn’t my family. I cried when a couple hours ago my mom forced me to hug her. I had extreme anxiety when I was a preteen (not as extreme today), and I self-cut a few times in those times. I pick my scabs compulsively. Until I was ten or eleven, I had to sleep with my mom at my side, and even afterwards I slept alone but had to turn on the lights, and often woke up feeling like I was choking (still do). Most of my nightmares were about being persecuted and wanting to hide. Generally I wanted to hide all the time, from anyone i.e. I was in the living room and someone came in and I felt the rush to hide behind the bookshelf. I can’t stand my mom staring at me, and I don’t understand why I take it so much against her when I doubt she did anything. I also feared water on my face (even today I have to press the sides of my nose before getting my face under the showerhead so I don’t ”drown”). For this fear I couldn’t learn to swim. I also didn’t eat much then and had (and still have) trouble swallowing, and often nearly choked on food and drinks. What makes me suspect it the most is that before being even near puberty I used to get my dolls naked and play with them in the shower, and touched their breasts and so on, I also thought sexually of many of my other toys yet I didn’t know much about how sex really worked. I even have a slight fetish for older men although they scare me. I didn’t masturbate so early (probably not til 12 years old) but now I masturbate very very often, more than most girls (twice or three times a day). I well remember being pretty sexual in my childhood and I don’t know when exactly it started or what triggered it. I don’t remember anything that could explain this. Do you think I might have been abused sexually but I suppressed the memory? (age 17,from Mexico)",Distorted,Should Statements
"I’m not sure what is wrong with me, and I’m too scared to ask my therapist. I need a bit of help. No matter how hard I’ve looked, I can’t find anyone who has the same sort of issues as me. Last year I sort of split my personality into two parts, one for the ‘good’ me, and one for the ‘bad’ me. I feel like the ‘bad’ me is a completely separate person from myself. The ‘good’ me has depression, anxiety, and self harm issues. The ‘bad’ me, has issues with stealing, setting fires, pedophilia, sadism, homicidal ideation and pathological lying. The ‘bad’ me (I’ve self diagnosed) has Schizoid and Antisocial personality disorders. Sometimes I can’t tell who is the ‘good’ me and the ‘bad’ me, I get so confused.",Non-Distorted,No Distortion
"I’ve known this for about 13 years. I am 30 years old now. I had a brief (few months) relation with a boy 12 years ago that was ended and then confessed to the parents of the child. Since then, over the years, there have been recurrant thoughts and indulgence in certain types of media and, for a short time, online chatting. This has all stopped, and I am in therapy now (having revealed all of the above to the therapist, who informed me of her legal obligations and professional concern…everything addressed as it should be), of my own volition. I have also brought this up to my circle of friends, and thereby lost most of them. My life is very difficult right now, but I’ve so far been able to keep myself from the old habits and look into ways of changing. What I’m glad about is that I’m doing this without being forced to. As thrilling as it was to have a dirty secret, it’s worthwhile for me to not feel like I’m hunted and a monster. I’m glad that, even though technically, I could be jailed for whatI’ve done, I have brought this into the light without getting caught and thrown away. I’ m doing this, not because and the state says I must, but because I say I must. I’m glad that some people have been very understanding and supportive. I am still loved. What worries me are three main concerns: Firstly, I wonder about myself. There were times in the past when I decided to give it up, but I started looking at stuff again (the almost-entire majority of this thing was looking at pics/vids) and then that would continue for a while. I know I have to change. It’s either move forward on the path I’m on, or end up perpetuating a cycle that thrives on the exploitation of those who don’t comprehend exactly how they’re being used. It seems like many things in my life…many grand ideas…get left behind like forgotten toys. I don’t want that to happen with this. I’ve heard of the recidivism rate of offenders and it’s a bit daunting. My prime hope is the theraputic process. But I’ve only had three sessions of psychotherapy and I don’t have all that much money, so I’m worried that I have to skip appointments so I can pay my bills and such. It’s depressing.",Non-Distorted,No Distortion
"Hi. Recently, my mind has been freaking me out more than usually. I used to take all my simplest thoughts and actions for granted, but as I sat and remember through everything I went through, I felt something was off because:",Non-Distorted,No Distortion
"From the U.S.: A few years ago, (5 or 6 years) when I was still trying to figure out who I was and what i wanted out of relationships, sex, etc etc I became very dear friends with a couple who were open-ish (wife is Bisexual and Husband is Heterosexual). The friendship started out as just a great platonic friendship. They’re both a little older than me so I would go to them with relationship struggles or just general life advisers and confidantes.",Distorted,Labeling
"Hello, I am a 4th year psychology student getting my bachelor’s in the spring. I am hoping to go to grad school and become a clinical psychologist, but I would like some help with my current situation.",Distorted,Personalization
"I am 22 years old and my boyfriend is 33 so he is 11 years older than me. To me and to pretty much everyone I know, this is not that big of a deal because he is a great guy, he treats me well, and he makes me very happy. The only person who has a problem is my mom. When she first found out his age she was extremely angry because she deemed him too old for me. When I asked why she does not like him, she simply said the only thing she does not like is that she thinks he is too old (mind you she has never met him and refuses to meet him). Things got out of hand when she ended up going into our phone plan and blocked his number from being able to contact my phone and she looks into my bank account to see what I buy and where I go, to try and make sure I do not contact him. I told her I would just get my own phone plan and pay for it, but she refuses to release my phone number from our account. She is now angry with me and will not talk to me, actively ignores me when I try and speak to her, and will not read or answer any texts.",Distorted,Mind Reading
"I believe, and my family members also believe, that I was suffering from serious paranoid delusions for years. I also had repetitive physical movements that I couldn’t control, and some hallucinations. I came out of it spontaneously, without medication two and a half years ago.",Non-Distorted,No Distortion
"Husband has schizophrenia, symptoms more intense & wants to give me “proof” to draw me in. What do I do?",Distorted,Labeling
"For about two years I have sort of thought that people can hear the thoughts in my head and recently I also feel like God, Jesus, demons and the devil talk to me in my head and I talk with them. I have started to feel more important than everyone else, I have started to think some people don’t deserve to be on the same planet as me. All my life when I have watched shows about killers I hated them and wanted to torture and kill them but I feel like I am different and I should be able to kill because I know wrong from right better than everyone else really, I would kill people who deserve to die and go to hell. I also have opposite thoughts, I obsessed with and sexually attracted to Jeffry Dahmer, I have repeated dreams about being back in time and changing his sexuality to like women and killing with him even though I know it is all wrong and strange. I am starting to become scared of myself. Do I need help?",Distorted,Fortune Telling
"From the U.S.: I’ve been having delusions for a long time that people can read my thoughts, and there are cameras everywhere watching me, and that everyone on the street is reporting on me. The problem is, I know these are false so I’m not sure if these are actually delusions. They’re not constant, only there most of the time, but because I have some moments without them I have insight into the fact that they are not true. Some separate rational part of my brain knows they’re not true, even when I’m actively believing them.",Distorted,Mind Reading
"In April I was hospitalized for suicidal ideation, it was a very stressful time, and I found the experience more stigmatizing than helpful. I still have nightmares where I wake up sweating thinking I am back in the locked ward. I was not a good patient and was diagnosed with borderline personality disorder (I discussed this with my therapist, both past and present and they do not agree with this as a diagnosis.) My issue is I still have strong suicidal thoughts where I want to die, but I don’t want my family and friends to experience the pain suicide would bring them. It has gotten to the point where I focus on ways I could die, like getting some disease or something. This is making it difficult to move on with my life, I have dreams, and I know that they are possible, but I don’t know if I have the energy to accomplish them in my current state. What I would like to know is how best to bring this up with my therapist, without risking the hospital. Also, I am in the process of transferring to a new therapist because my current therapist is leaving. After only a few months and I was beginning to get to the point where I was about to bring this up with her, but I am afraid, this will be seen as a way of avoiding abandonment. I don’t know if I should wait to bring this up when I find a new therapist or I should share this with my current one as it takes a while to get comfortable with someone new, and the pain is serious at the moment. Thank you for your help.",Distorted,Emotional Reasoning
"I’m married to my husband for almost 9 years. We know each other 11 years. For the outside world, we are perfect couple, who loves adventure, travel, cooking and is madly in love. Behind the door is a different story. In the past 10 years, we’ve been straggling with my husband’s father, who had a stroke and now has a cancer. We were helping my in-laws in their difficult times.",Non-Distorted,No Distortion
"He also doesn’t live near me. My adult son, who has a history of severe ADHD & rapid cycling bi-polar disorder, but who has never been psychotic until the past year (from meth use), is now at the point where his delusions are constant. He texts me often. Once I realized that he was not messing with my head/joking, that he was not experiencing temporary delusions, I was at a loss as to how to respond to his delusional statements. A few weeks ago his delusion became that I was (and have been since he was born) a member of a secret, powerful organization; that I held a large trust in his name and was keeping it from him. At that point he became threatening, texting statements such as “bitch give me the money/password, or I’ll send people to get it” and various versions of that with statements that “they” would take no prisoners, etc. I told him he was delusional and as long as he was threatening me I would not respond. Reasonable, right. As long as he is not being aggressive or threatening I don’t want to cut off contact completely. But, even when his delusions shift, I am at a loss as to how to respond. Yesterday he said that he was working for central intelligence, among other things. The delusions of grandeur seem to be an extension of his former episodes of manic grandiosity from childhood. He stopped taking all medications at 18. His meth use began in his late 20’s and accelerated over the past 3 years. He has had periods of sobriety off an on over the past year, but now seems to have descended into a full time delusional state. I am not certain if he is actively using daily at this time. He has been anti-psychiatry/anti-medication since early adulthood, so will not willingly accept help. He is functional enough to avoid a 72 hour hold. Any advice would be greatly appreciated, especially where communicating with him is concerned.",Non-Distorted,No Distortion
"From the U.S.: My son is 20 years old and I fear he is bipolar. He is depressed all the time and never, ever happy. He’s unbelievably negative, argumentative, at times combative, and people find him difficult to be around.",Distorted,Personalization
I haven’t seen my ex in 7 years but I still love him even though I’m with someone else. I was with him for about 4 years off and on. He moved away and I haven’t seen him for 7 years. I never really got over him I checked up on him and still talked to him sometimes until I got with my current boyfriend and he didn’t want me to talk to him anymore so I quit for about a year. I found him again on facebook and started talking to him as friends without my boyfriend knowing. Eventually it backfired on me and he found out I had talked to him and we almost broke up over it so I swore I wouldn’t do it again. My current boyfriend is overall a good man and provider for our family (I have a little girl that he raises as his own even though he is not her dad hes been with us since she was 9 months old). He has never cheated or did anything bad to me he is just a bit controling. I believe he really does love me and thats why I stay with him I know he would be there through thick and thin but I really just can’t shake this feeling of wanting to have contact with my ex. I don’t know whats wrong with me I love my current boyfriend but I can’t give him 100% of me when I can’t get my ex out of my head. Please help me out here. Thanks,Distorted,Overgeneralization
"Hi. I wanted to know if there could be something wrong with me, and if so, what could be causing it. For quite a while now I have been experiencing extremely intense mood swings and identity shifts that only last for a very short period of time. One minute I can feel suicidal, the next I feel euphoric, the next I am bursting with energy, the next I am rage full, and the next I feel like a rational human being. However, I have found that when I’m in these euphoric, energetic moods I can become extremely paranoid if triggered. The other night I slept over at my friend’s house in one of these moods, and the voices inside of my head said that if I didn’t throw my phone at the wall, something horrible would happen. So I struggled with it for a while, and then finally threw my phone at the wall. All my friends who were trying to go to sleep woke up. These voices are not audible they are just two voices that seem to be there and tell me to do things, but they contradict one another all the time, and often I can’t figure out who to trust. I’ve felt pretty stable for a little over a week now, except for last night when I thought that my mother was trying to poison me (lately I’ve been feeling more and more that my parents are trying to kill me). I had a small panic attack and then I got over it. I also started planning out how to kill my friend, but then changed my mind. I become very angry and murderous at times but still seem to have a capacity for intense empathy for others. The confusing thing is, whenever I switch back into my rational mode I view my past actions as ridiculous and try to forget about them. Rational mode can last for a week or so, maybe longer, and then I go back headlong into a tailspin and let everything fall apart. I know that I am not schizophrenic because these voices are not audible and I still have a pretty good grip on reality. I also know that it is not bipolar disorder because the moods change far too quickly. I am very confused, and would appreciate a little guidance. Thank you in advance!",Non-Distorted,No Distortion
"From Italy: I want to start by emphasizing that this is not a serious issue in my life. It’s just something that I am not able to cope with, and would like some…general insight.",Non-Distorted,No Distortion
My brother has been married 14 years and is considering divorce. He has been communicating with his wife about his feelings. She is a very jealous type of woman who has not allowed him to have female friends. He has two daughters ages 10 and 11 and recently the girls have been getting more involved questioning him about his female friendships. Recently he took both girls to a concert & his female friend came along. The youngest shared that she told her mom about the concert and mom said “She did not know” his friend would be there. The youngest then told her Dad that it is not right for him to be at a concert with his female friend and not her mom. Another time recently the oldest daughter called him to ask “Dad where are you and who are you with” … I don’t know if this is normal behavior for young girls but I am concerned that they are adopting these behaviors from their Mom. She also shares certain things with the girls (since the marriage is having problems) like “I didn’t know your Dad’s female friend would be there” for example. Is this something we should be concerned about? I worry the girls are being brought into their parents’ marriage issues and in the process are being taught to interrogate their Dad and worry about boundaries with him and friends.,Distorted,Should Statements
"I don’t know how I feel; my feelings and actions are confusing to me. Okay. So this is probably going to be long and confusing for everyone reading this. I have a hard time expressing my feelings, and maybe it’s genetic because apparently my mother is the same way. My family has never been terribly close, and I have lived out if home with my boyfriend for a year or so before (I like to he independent), although I’m back home now. Here are some characteristics that I know about myself, I’m kind of a tom boy, I’ve always gotten along better with boys than girls, I feel I have to be the strong one, and don’t want to show my feelings in front of other people, I also do not like being the center of attention. I have very poor concentration and memory (possibly due to ADD but the symptoms only appeared a few years back); I have little memory before the age of 7. And up until junior high I don’t have very clear memories but I can remember things if people say something that reminds me, very different from memories of when I was younger where I don’t recall major things. I don’t think I had a bad childhood that could have affected me, even when I think about the worst parts I don’t really care, (divorced parents, little money, unhealthy father, abusive mother, sexually abused by brother(s)? not sure if more than one, I even watched my friends father die (heart attack) and it didn’t phase me. kind of sounds like bragging huh.). Every once in a while, it seems things just build up, although I’m not sure what things, and I have a bit of a breakdown. I used to cut (more of for something to do and attention, although I didn’t let anyone find out) and feel suicidal just because I didn’t feel that there was anything for me to do in this world, I felt what was the point of growing up if you’re just going to work for so many years doing the same thing over and over, and then die. Sometimes I still feel this way, like life is pointless. I do enjoy drinking and prescription pills just because it is something to do that makes me happy, and makes my day less dull. I have an extremely hard time interpreting my feelings, I don’t know if I’m happy or depressed or confused, I know I have a bit of anxiety I inherited from my father, I have been on pills for it, and I liked that they made me feel numb which made me happier but I drank almost everyday. I didn’t want to stop the pills because it was a different kind of drunk but I had to because you aren’t supposed to mix them and I ended up in the hospital after a while. Sometimes I get into this sort of numb mood where I can just zoom through my days and not remember much without someone reminding me or thinking really hard about it, it’s usually when I’m down. Sometimes I don’t want to talk to anyone, and other times I want to be around everyone. I feel like I’m masking my happiness whenever I’m around people, maybe part of staying strong. Also, I’ve been to a therapist before I got anxiety pills, and I really wanted to talk but I couldn’t get myself to speak truthfully because I don’t like the idea of talking to someone who is paid for it and really doesn’t care about you as a person, it’s just their job. I have never talked to any of my close friends about these things because they come to me with their problems looking for advice, and I don’t want to burden them with my problems. The situation is the same for this one teacher who always looked out for me, and kind of knows how my life really is, and I always wanted to open to him about everything, but I can’t bring myself to make my problem his problem too. Anyways, I don’t even know what my problem is yet. I really hope people don’t just ignore this question, I don’t know what is wrong, but I can never seem to think as clearly as everyone else can, every one seems to he able to do things so much easier than I can. One last thing, hopefully I don’t remember anything else, I’ve noticed in my relationships at the beginning everything is wonderful, I want to be with them and be affectionate, but then suddenly, not gradually, my feelings change, and everything about them bothers me, and I turn into a bitch and pick them apart constantly. I don’t want them to touch me or kiss me anymore; I don’t want to be around them at all. And then the relationship usually ends. One last thing, I have constant migraines or headaches everyday that the doctor said are tension headaches? That(s everything I can remember for now that I’m confused about. I’ll add more if I think of it. I just want to understand my own feelings.",Non-Distorted,No Distortion
"From the U.S.: For the past 4 years, I’ve been experiencing memories of bad stuff that’s happened as a kid. I have been bullied at school and have issues communicating with people and family. I don’t have to many friends and have a hard time talking with people. I get extremely irritated around a lot of people.",Distorted,Magnification
"In the past three years I have had sex with 5 guys. I’m 16 years old and I hate myself. I know every time that I’ll regret it and every time they just leave anyway. I don’t know why I do it. I just love sex and I’m sick of being alone. I have tried to stop doing what I’m doing. It’s just bad because I’ve never actually had an actual relationship and I just feel like I gotta give it up to get one.  And it’s worse because I KNOW it doesn’t work like that but something in my mind tells me it will. I wanna be someone else. I’m a slut lately and that’s honestly something I never thought I’d be. I used to have a PURITY RING. I just need to change myself but I don’t know how. I just give in too easily and I expect too much. I honestly feel like sex is something I NEED and masturbation doesn’t cut it because I like to be hit and pushed around, which I think is NOT okay. There’s something seriously wrong in my brain and I want to fix it. Someone please help.",Distorted,Fortune Telling
I have been married to my husband for 12 yrs we have 4 children the oldest is 9 and the youngest is 9 months old. My husband and I have been having problems for a long time.,Distorted,Mind Reading
"I’ve been aware that something is not quite right with my mom for some time now, and I’m having a hard time telling what’s wrong with her. For a while, at the thought of my therapist, I thought she was narcissistic. However, I was looking into sensory integration disorder for myself on the internet and stumbled upon the term thought disorders in a forum where a woman thought her son had SI and mentioned he didn’t speak right. When I looked it up on Wikipedia it mentioned symptoms like blocking, circumferential speech, derailment, distractible speech, loss of goal, and semantic paraphasia. All of which I’ve known her to do. She’s mostly coherent but often does at least one every time I see her. Usually several. For example, if it’s just the two of us she’ll go on and on rambling about nothing in particular while often switching topics. Then she’ll experience blocking and ask what she was just talking about. Or she’ll substitute words in sentences with random words. She does this last one a lot. For example, she’ll say, “I slipped on the water outside on the patio.” And I’ll correct her, “No, it was inside in the kitchen.” She’ll respond, “That’s what I said”. And I’ll say, “no it wasn’t.” She just say “oh” and shrug her shoulders. I don’t think she’s ever called me by my own name. She often calls me by one of my brother’s names and vice versa.",Distorted,Emotional Reasoning
"I honestly have doubts when it comes to my mental sanity. I will start by saying that I face social anxiety and that I isolated myself from the world, avoiding most interactions with others and rarely leaving home. I cannot make friends as I find myself unable to open up to people, family included. I have a phobia of loud noise (yelling, firecrackers even balloons). I saw a therapist but I have again discovered that I could not open up at all, being misunderstood every time I tried. Due my age and lack of money I had to give up after a few tries. I can’t remember my childhood very well, but it was a little rough (emotionally). I find myself unable to talk about it. In middle school I experienced bullying because of shyness. I admit having serious self-esteem issues — when I could not cope with the sadness I would blame and insult myself. That would make me feel “emotionally numb” after a while so the sadness would be gone. Lately everything worsened. I often go to extremes: I feel either real happy, extremely sad or simply numb — feeling nothing at all. I cry fast, usually for reasons that I do not know myself. I cannot talk about emotions at all, finding myself completely unable to explain no matter how hard I try, I end up saying things I don’t mean at all. Yet there is someone that managed to crack up that wall, only just a little: my boyfriend. Honestly I have no control over myself, I am not even sure what kind of person I really am, yet he manages to calm me every time. He became what I would call an emotional brake. I am stable as long as he is there. Yet if something like a minor fight happens, my emotions go berserk. Thoughts of self-harm or not eating start crossing my mind, suicide even. Yet I know myself that I will never give in, I am afraid of pain. I became dependent on him, and I know myself that is no good. I am scared. It feels like if he takes one step back I will crumble down. What should I do? Should I try again to find a therapist? Is it all just in my head as my family tries to convince me? (age 17, from Romania)",Distorted,Should Statements
